,name,total_enrollment,state,n_native,n_asian,n_black,n_hispanic,n_pacific,n_nonresident,n_total_minority,n_multiracial,n_unknown,n_white,n_women,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
0,Aaniiih Nakoda College,291,Montana,256,0,0,2,0,0,258,0,0,33,178,MT,Public,2 Year,,2380,2380,2380,2380,,,,
1,Abilene Christian University,4427,Texas,18,46,387,582,0,185,1212,179,71,2959,2562,TX,Private,4 Year,10350.0,34850,45200,34850,45200,,,,
2,Abraham Baldwin Agricultural College,3458,Georgia,9,36,407,197,1,49,680,30,1,2728,1822,GA,Public,2 Year,8474.0,4128,12602,12550,21024,,,,
3,Academy College,127,Minnesota,1,10,14,6,3,0,35,1,12,80,28,MN,For Profit,2 Year,,17661,17661,17661,17661,,,,
4,Academy of Art University,15212,California,70,1092,999,1383,75,5173,3931,312,2652,3456,8815,CA,For Profit,4 Year,16648.0,27810,44458,27810,44458,,,,
5,Adams State University,3154,Colorado,37,37,191,812,10,0,1213,126,165,1776,1728,CO,Public,4 Year,8782.0,9440,18222,20456,29238,44400.0,81400.0,56.0,3.0
6,Adelphi University,7610,New York,10,554,857,1007,6,436,2587,153,529,4058,5523,NY,Private,4 Year,16030.0,38660,54690,38660,54690,,,,
7,Adirondack Community College,4247,New York,18,38,126,135,2,9,395,76,31,3812,2437,NY,Public,2 Year,11660.0,5375,17035,9935,21595,,,,
8,Adrian College,1641,Michigan,3,10,153,80,0,1,300,54,174,1166,787,MI,Private,4 Year,11318.0,37087,48405,37087,48405,,,,
9,Advanced Technology Institute,717,Virginia,7,19,262,43,1,0,343,11,3,371,29,VA,For Profit,2 Year,,13680,13680,13680,13680,,,,
10,Agnes Scott College,873,Georgia,1,41,288,78,2,104,462,52,23,284,867,GA,Private,4 Year,12330.0,41160,53490,41160,53490,46000.0,83600.0,57.0,26.0
11,Aiken Technical College,2351,South Carolina,22,28,720,98,3,2,894,23,22,1433,1495,SC,Public,2 Year,,5160,5160,8010,8010,,,,
12,Aims Community College,5001,Colorado,33,63,78,1631,9,4,1911,97,76,3010,2904,CO,Public,2 Year,,2281,2281,13018,13018,,,,
13,Alabama Southern Community College,1398,Alabama,13,7,608,7,0,1,645,10,10,742,853,AL,Public,2 Year,,4440,4440,8880,8880,,,,
14,Alabama State University,5519,Alabama,8,20,4950,68,3,130,5105,56,76,208,3430,AL,Public,4 Year,5422.0,11068,16490,19396,24818,39800.0,71500.0,61.0,16.0
15,Alamance Community College,4437,North Carolina,29,76,912,416,1,82,1539,105,86,2730,2899,NC,Public,2 Year,,2310,2310,8070,8070,,,,
16,Alaska Bible College,46,Alaska,3,0,0,1,0,0,5,1,0,41,25,AK,Private,4 Year,5700.0,9300,15000,9300,15000,,,,
17,Alaska Pacific University,579,Alaska,87,10,13,15,4,0,170,41,88,321,384,AK,Private,4 Year,7300.0,20830,28130,20830,28130,50300.0,90000.0,67.0,6.0
18,Albany College of Pharmacy and Health Sciences,1563,New York,4,228,59,63,2,118,372,16,86,987,932,NY,Private,4 Year,10920.0,35105,46025,35105,46025,81000.0,144800.0,82.0,2.0
